voiceId,cueKey,path,sha256,durationMs,codec,container,sampleRateHz,channels,bitRate,lufsI,loudnessRange,truePeakDbfs,leadingSilenceMs,trailingSilenceMs,decodeStatus,clippingFlag,baselineDurationPercentile,pairedDurationDeltaMs,outlierFlags,notes
"marcus","mpv2_balance_rest","assets/audio/voice/marcus/mpv2_balance_rest.mp3","97ab38ebcb035eefdbec3bb1179dfab3ea1dce13c9d30816d28838d314c680e0","4087","mp3","mp3","44100","1","128000","-20.2","0.7","-0.9","","216","ok","false","75.3","-93","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_tracking_retry","assets/audio/voice/clara/mpv2_balance_tracking_retry.mp3","4e3aa78182cc475f42d19f9c46d52c7efa047201a45fc7647305cc1c760efa23","6037","mp3","mp3","44100","1","128000","-23.6","1.4","-2.1","57","256","ok","false","84","371","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_balance_tracking_retry","assets/audio/voice/marcus/mpv2_balance_tracking_retry.mp3","69a96bf58ed4cc687423bdd188dcd6ab2260e7d647dc961b6a9c64cfc856761c","5666","mp3","mp3","44100","1","128000","-17.7","3.8","-1.0","","259","ok","false","83.3","-371","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_balance_use_best","assets/audio/voice/clara/mpv2_balance_use_best.mp3","36f091fec6b72e68c5691c1bcede80040c9241cbe4f390570650784ffe0fe572","1533","mp3","mp3","44100","1","128000","-21.2","0.0","-5.0","","176","ok","false","34.7","279","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_balance_use_best","assets/audio/voice/marcus/mpv2_balance_use_best.mp3","f0c75bfee430be64e8237a0052103b79421d10e294aa3bbd15dd0ee66783879a","1254","mp3","mp3","44100","1","128000","-15.1","0.0","-1.0","55","221","ok","false","32","-279","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_chair_official_ready","assets/audio/voice/clara/mpv2_chair_official_ready.mp3","ca9472fdcc4c22d52b996bca716e33715468743bbad28d7e84d55523bb80fe39","3483","mp3","mp3","44100","1","128000","-21.9","0.7","-2.3","","244","ok","false","69.3","-139","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_chair_official_ready","assets/audio/voice/marcus/mpv2_chair_official_ready.mp3","a6dbc0b8ee399fca106eacb440b5b7f8d1420f68ce6e92a31b5ee02cc0aca6f6","3622","mp3","mp3","44100","1","128000","-16.6","1.1","-1.1","","231","ok","false","72","139","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_chair_practice_start","assets/audio/voice/clara/mpv2_chair_practice_start.mp3","49ace7883b366e8c9a8aef7c1a1c078826a15d69e0b9410fcc78830e7c7d84c1","2972","mp3","mp3","44100","1","128000","-22.3","0.0","-2.4","","221","ok","false","57.3","278","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_chair_practice_start","assets/audio/voice/marcus/mpv2_chair_practice_start.mp3","74a9c7d6b9b3216319fc79dd3427f994b969c84e6689d54c56f0d0107718e0d2","2694","mp3","mp3","44100","1","128000","-15.6","0.0","-1.0","","221","ok","false","51.3","-278","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_checkup_intro","assets/audio/voice/clara/mpv2_checkup_intro.mp3","4a6a1b6ed3ef9e908e680b052a771273b39d4765beef1709253c755de8929dae","5016","mp3","mp3","44100","1","128000","-24.6","2.0","-6.6","","285","ok","false","82","140","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_checkup_intro","assets/audio/voice/marcus/mpv2_checkup_intro.mp3","b4d81972d706347602030597af5642eff509fc4a933fe5daffe4ec815acc888d","4876","mp3","mp3","44100","1","128000","-19.6","3.5","-1.4","","264","ok","false","81.3","-140","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_hinge_complete","assets/audio/voice/clara/mpv2_hinge_complete.mp3","07daf6c4e8fea6be56a5baa32615e882ec4a79869983523aeed075f5302d35ab","1347","mp3","mp3","44100","1","128000","-23.8","0.0","-8.9","","194","ok","false","32","0","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_hinge_complete","assets/audio/voice/marcus/mpv2_hinge_complete.mp3","95b5d78431b5c886452a70e38f618e6ae56a4af0f20357446950bd3d15dc19a6","1347","mp3","mp3","44100","1","128000","-12.4","0.0","-1.0","","206","ok","false","33.3","0","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_hinge_no_measurement","assets/audio/voice/clara/mpv2_hinge_no_measurement.mp3","a13c3b1b095c4554f4ba2108c08d883b3307cc19a949b2b94ff53cec4cecc7cd","3576","mp3","mp3","44100","1","128000","-24.3","1.1","-8.4","","184","ok","false","70.7","232","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_hinge_no_measurement","assets/audio/voice/marcus/mpv2_hinge_no_measurement.mp3","5b11bf570bbdc0ab325178c826ea159542beb70fc3ec2d4f486bc64af1185ec9","3344","mp3","mp3","44100","1","128000","-16.3","20.9","-1.1","","229","ok","false","70","-232","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","mpv2_shoulder_tracking_retry","assets/audio/voice/clara/mpv2_shoulder_tracking_retry.mp3","f704009108f6596db93803028e8eb238ae4f587070aa92c8ce8c725e409ca49e","5433","mp3","mp3","44100","1","128000","-23.5","2.8","-2.7","55","280","ok","false","82.7","743","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","mpv2_shoulder_tracking_retry","assets/audio/voice/marcus/mpv2_shoulder_tracking_retry.mp3","ac9428647282775425445dcd83e2a6188652923d338cf5a14abed9e3451fc2d8","4690","mp3","mp3","44100","1","128000","-15.4","4.6","-0.9","51","202","ok","false","80.7","-743","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","retry-v21","assets/audio/voice/clara/retry-v21.mp3","f4019dd660dbf5f9a7846b8c3291717a3c5de9888941e6fbb168c5175c6ec8fc","1207","mp3","mp3","44100","1","128000","-18.2","0.0","-2.6","","237","ok","false","32","46","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","retry-v21","assets/audio/voice/marcus/retry-v21.mp3","bc48a551c24d6d43f365590818c4e5a67a850ec768ff5fdb09f3f69d144d8a59","1161","mp3","mp3","44100","1","128000","-14.4","0.0","-1.3","","298","ok","false","32","-46","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","times-up-v21","assets/audio/voice/clara/times-up-v21.mp3","8bbb2a9ba2fd03f2b680fb6b774472249193bb362af0e0adcb733144b11d38b0","743","mp3","mp3","44100","1","128000","-24.7","0.0","-10.2","61","223","ok","false","10.7","0","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
